ID,locx_o,locy_o,locx_d,locy_d,mode,time,distance
TS339,286,173,281,167,TS,4.8749128688717,7.810249675906654
TG790,228,127,242,142,TG,4.807247946530806,20.518284528683193
GSD237,223,261,223,262,GSD,5.58183241869213,1.0
TG481,339,149,323,165,TG,6.346548989360086,22.627416997969522
GSD15,331,324,335,320,GSD,7.028841854996159,5.656854249492381
GG788,389,40,396,37,GG,5.341412837178781,7.615773105863909
GG783,473,67,466,64,GG,5.795533629902815,7.615773105863909
GSD290,404,250,401,249,GSD,4.12933231475148,3.1622776601683795
GSD298,259,209,263,210,GSD,4.22837518513202,4.123105625617661
GG41,353,229,348,236,GG,8.755748436971661,8.602325267042627
TS514,308,205,316,210,TS,5.847064426429419,9.433981132056603
GG401,272,86,272,85,GG,4.866279554841779,1.0
GG264,460,155,457,164,GG,7.12353722182646,9.486832980505138
TG1100,196,409,219,427,TG,6.45602021806493,29.206163733020468
TG1051,385,293,386,270,TG,5.1486213721996075,23.021728866442675
GSD249,453,228,457,227,GSD,5.699170422937705,4.123105625617661
GG12,349,364,346,367,GG,5.733850432666183,4.242640687119285
GSD366,418,114,412,114,GSD,6.440234758294345,6.0
GG234,323,87,329,87,GG,3.849631545781037,6.0
TS302,355,332,355,322,TS,5.782797598891683,10.0
TG886,198,350,227,345,TG,6.363612735512913,29.427877939124322
GG573,367,47,366,57,GG,5.804750764089325,10.04987562112089
GG95,462,111,454,103,GG,7.513515139920948,11.313708498984761
GG587,414,112,416,119,GG,6.679955338846845,7.280109889280518
TG587,91,327,88,346,TG,4.559922089798272,19.235384061671343
GG553,459,149,458,138,GG,6.19379891282216,11.045361017187261
TG1147,231,146,215,159,TG,7.127342171167165,20.615528128088304
TG648,281,144,317,126,TG,8.867971566804819,40.24922359499622
GG477,358,252,364,239,GG,7.950475462448338,14.317821063276353
TG1023,240,344,220,347,TG,5.107951809290092,20.223748416156685
GSD379,265,227,266,228,GSD,6.052312248650477,1.4142135623730951
TS779,389,130,399,128,TS,5.9425375006306975,10.198039027185569
TG273,294,290,281,311,TG,5.941075393849491,24.698178070456937
TS397,253,151,258,146,TS,3.511036548008903,7.0710678118654755
TG626,376,126,401,110,TG,6.008688107631153,29.68164415931166
TG303,440,132,459,126,TG,5.996608922964877,19.924858845171276
TG220,269,424,257,435,TG,4.601050389762187,16.278820596099706
GG207,437,66,443,59,GG,6.780402215988029,9.219544457292887
GSD126,262,335,264,335,GSD,5.35524764843505,2.0
GSD345,232,422,232,419,GSD,5.3982187562496335,3.0
GG236,197,472,201,475,GG,4.501417026461818,5.0
TG771,179,406,202,412,TG,5.563782919725833,23.769728648009426
GSD142,248,480,245,482,GSD,5.792805756975991,3.605551275463989
GSD20,339,291,338,294,GSD,5.093079439488412,3.1622776601683795
TG135,361,121,338,121,TG,5.068520272429393,23.0
GSD156,530,173,534,171,GSD,6.376814757953433,4.47213595499958
GG387,286,86,296,88,GG,6.193337405402832,10.198039027185569
GSD158,185,407,187,406,GSD,5.829342375992979,2.23606797749979
TS510,267,337,257,341,TS,6.096771293321584,10.770329614269007
GSD81,330,172,325,172,GSD,6.149370247398383,5.0
GG627,254,196,260,193,GG,5.109331340198351,6.708203932499369
TS606,245,161,251,162,TS,5.830986879278245,6.082762530298219
TG1015,276,164,261,155,TG,4.937092474553678,17.4928556845359
TG300,92,393,105,378,TG,4.805650158500775,19.849433241279208
TS73,386,283,380,298,TS,7.064779830539191,16.15549442140351
GG500,146,462,136,458,GG,6.288300938428822,10.770329614269007
GSD253,470,221,466,224,GSD,5.372072648608729,5.0
GG489,437,59,437,68,GG,4.530938502661438,9.0
TS600,366,316,357,321,TS,7.588013811567633,10.295630140987
GG138,480,107,484,99,GG,5.877483333461154,8.94427190999916
TS700,269,161,280,167,TS,6.3424160198586135,12.529964086141668
TS714,389,126,389,137,TS,5.41838020676331,11.0
GG2,354,123,349,122,GG,5.57372833421472,5.0990195135927845
GG496,264,188,275,186,GG,5.630076552645504,11.180339887498949
GSD365,422,241,421,238,GSD,6.415004894631572,3.1622776601683795
GG728,451,177,447,180,GG,4.7283802005644695,5.0
GG664,384,305,393,307,GG,5.151521578004797,9.219544457292887
GSD396,401,313,402,307,GSD,6.49496249878694,6.082762530298219
TS229,388,132,390,147,TS,6.206780517420743,15.132745950421556
GG520,398,252,394,262,GG,6.141724378920983,10.770329614269007
GG70,242,431,231,430,GG,5.545643548540841,11.045361017187261
TG735,179,406,201,411,TG,5.0209132436550235,22.561028345356956
GSD83,308,93,311,92,GSD,4.940026349254333,3.1622776601683795
GG471,272,192,261,192,GG,6.169067898403627,11.0
GSD180,460,115,462,111,GSD,5.395371447003633,4.47213595499958
TG945,372,129,359,138,TG,4.303700454768609,15.811388300841896
GSD299,369,281,372,280,GSD,4.208971544223395,3.1622776601683795
TS713,92,394,86,390,TS,6.107099548989361,7.211102550927978
TS497,212,156,208,166,TS,6.353042779276592,10.770329614269007
GG51,127,354,128,345,GG,5.412402179732766,9.055385138137417
GSD260,409,127,414,131,GSD,7.216394209986747,6.4031242374328485
TS763,112,374,123,370,TS,5.911401542744468,11.704699910719626
GG61,372,179,381,176,GG,7.262941876085343,9.486832980505138
TG582,320,168,331,152,TG,4.8388405102012735,19.4164878389476
GSD226,307,432,304,435,GSD,6.940559818163878,4.242640687119285
GG461,240,199,248,195,GG,5.906330541188911,8.94427190999916
GG436,300,276,296,285,GG,6.8166411502669275,9.848857801796104
GG542,323,323,322,314,GG,5.786643218180935,9.055385138137417
GG643,352,155,353,147,GG,4.642624949197016,8.06225774829855
GSD330,338,349,346,349,GSD,8.148176718313309,8.0
GG376,323,212,330,216,GG,6.37037253540783,8.06225774829855
TS99,402,238,403,230,TS,4.237222377147229,8.06225774829855
TS493,394,247,400,241,TS,6.377891357022975,8.48528137423857
GG415,232,131,227,123,GG,5.417593892935635,9.433981132056603
TG256,350,82,327,87,TG,5.0597474003691785,23.53720459187964
TG1118,419,94,402,110,TG,5.895632783381037,23.345235059857504
GSD393,280,152,285,147,GSD,7.667543005392009,7.0710678118654755
GG163,263,186,267,191,GG,6.70916104070891,6.4031242374328485
GG250,428,160,432,163,GG,5.392443839949633,5.0
TS37,367,314,371,310,TS,6.458337084370771,5.656854249492381
TG1061,476,123,449,130,TG,6.551951346178502,27.892651361962706
GSD178,258,126,263,121,GSD,6.733507582154353,7.0710678118654755
GSD125,222,345,223,346,GSD,5.921268652105932,1.4142135623730951
TG522,484,112,472,126,TG,5.1358860523102345,18.439088914585774
TG735,222,429,239,436,TG,4.061039658334117,18.384776310850235
GG25,430,93,434,99,GG,5.907820831825672,7.211102550927978
TS631,92,394,92,401,TS,6.040552999070347,7.0
TG1,136,399,159,405,TG,5.127118823390331,23.769728648009426
TS7,390,121,384,125,TS,6.5481686083418085,7.211102550927978
GG127,146,396,158,402,GG,7.248298504179903,13.416407864998739
GG179,393,96,384,100,GG,5.983110181355254,9.848857801796104
TG7,417,95,437,92,TG,5.5996473469534545,20.223748416156685
TS359,125,398,112,396,TS,5.792770920007983,13.152946437965905
GG421,411,83,412,91,GG,5.531815984017401,8.06225774829855
TG558,91,327,99,300,TG,6.81177318477978,28.160255680657446
TS402,255,438,256,442,TS,8.139497552804785,4.123105625617661
GG741,256,147,251,149,GG,5.174804078508351,5.385164807134504
GG609,462,95,453,102,GG,7.902347463226075,11.40175425099138
GSD318,237,168,240,167,GSD,6.396443987034651,3.1622776601683795
TG714,230,166,251,160,TG,4.66798466925885,21.840329667841555
GG202,286,186,291,193,GG,5.6650517716238475,8.602325267042627
TG748,301,175,274,168,TG,6.375982322833244,27.892651361962706
GSD146,339,259,340,261,GSD,5.002037893218237,2.23606797749979
TG282,298,105,312,91,TG,4.924896245692167,19.79898987322333
TG305,329,326,312,333,TG,4.071237814746132,18.384776310850235
TS598,239,165,234,167,TS,4.999598784523345,5.385164807134504
TG235,421,92,441,93,TG,4.3931922785810995,20.024984394500787
TS318,385,285,386,272,TS,5.4172098139275064,13.038404810405298
GG236,218,482,222,472,GG,6.20078939935895,10.770329614269007
GSD313,453,203,457,202,GSD,6.3342089162137185,4.123105625617661
GG149,330,160,332,156,GG,5.596313905549956,4.47213595499958
TS23,181,407,170,405,TS,4.780437298695585,11.180339887498949
TS171,403,108,398,114,TS,4.617348506334897,7.810249675906654
GSD80,440,249,437,250,GSD,7.117313851213975,3.1622776601683795
GG251,94,408,97,417,GG,4.725464600059832,9.486832980505138
GG580,251,170,243,178,GG,6.201799876111347,11.313708498984761
GG728,457,171,451,177,GG,6.756526602008474,8.48528137423857
TS613,381,140,387,131,TS,6.171585601651884,10.816653826391969
GG174,371,327,368,329,GG,5.352608615559646,3.605551275463989
TG418,237,168,216,159,TG,6.902641861983814,22.847319317591726
TG697,157,404,137,398,TG,5.248862610656008,20.8806130178211
GG294,389,158,390,155,GG,3.569711938224601,3.1622776601683795
TG721,94,388,88,357,TG,6.556389199766519,31.575306807693888
GG409,431,166,429,158,GG,6.215722365790711,8.246211251235321
GSD281,326,349,328,345,GSD,4.760029351336996,4.47213595499958
GSD229,333,333,335,329,GSD,7.1842852868958005,4.47213595499958
GSD365,421,238,424,233,GSD,7.848942187337734,5.830951894845301
TG844,390,121,373,131,TG,4.742432792885041,19.72308292331602
GG408,414,221,408,230,GG,6.410530216914864,10.816653826391969
GSD331,26,440,29,440,GSD,7.6897919528360745,3.0
GSD316,339,279,338,279,GSD,4.716558337632609,1.0
GG176,437,189,431,181,GG,6.331264343099414,10.0
GSD144,438,232,441,228,GSD,5.9604733987403336,5.0
GG411,247,115,256,118,GG,6.082724139007523,9.486832980505138
GG410,167,470,171,463,GG,6.612111960996472,8.06225774829855
TG1131,245,161,232,166,TG,4.7418336220850055,13.92838827718412
GSD183,227,387,227,382,GSD,6.509482569062536,5.0
GSD27,242,397,236,396,GSD,6.275966885177912,6.082762530298219
TS12,194,347,191,353,TS,5.318540967196695,6.708203932499369
GG792,251,311,250,300,GG,5.859676857426358,11.045361017187261
GSD342,235,486,232,487,GSD,6.553717654684458,3.1622776601683795
GG161,416,114,414,106,GG,5.731820876411529,8.246211251235321
TS170,418,95,414,97,TS,5.639922965030529,4.47213595499958
GSD42,186,365,185,361,GSD,6.1902429922954205,4.123105625617661
TG859,332,123,316,127,TG,4.460971574247834,16.492422502470642
TG89,307,172,318,174,TG,5.667336527992329,11.180339887498949
TG346,302,267,307,252,TG,3.838902516860247,15.811388300841896
TG688,241,436,214,420,TG,7.230531534094786,31.38470965295043
GSD330,336,322,335,328,GSD,7.560030888774573,6.082762530298219
GG266,501,176,491,182,GG,6.489978897549213,11.661903789690601
GSD326,393,121,388,120,GSD,6.613123926682462,5.0990195135927845
GSD191,469,182,467,189,GSD,7.693216903840073,7.280109889280518
GG442,111,377,103,378,GG,7.459135802589638,8.06225774829855
TG407,165,405,147,401,TG,4.8607674458888175,18.439088914585774
TG712,316,214,318,192,TG,6.453612778762258,22.090722034374522
TS118,72,332,93,330,TS,8.05624311634924,21.095023109728988
TG571,167,357,153,363,TG,4.388004169986058,15.231546211727817
GSD47,245,382,239,384,GSD,5.404362736048235,6.324555320336759
TG915,387,260,385,284,TG,6.245709192054733,24.08318915758459
GSD61,352,281,352,280,GSD,4.894392289343635,1.0
TG929,90,396,93,383,TG,3.423623760936942,13.341664064126334
GSD81,312,173,312,175,GSD,7.348874348978306,2.0
GSD65,62,420,64,417,GSD,5.429645358524901,3.605551275463989
TG1060,262,148,287,144,TG,6.527694451745754,25.317977802344327
TG556,177,356,199,350,TG,5.991248318825864,22.80350850198276
GG407,237,330,249,329,GG,5.731378194519165,12.041594578792296
TS663,116,245,118,236,TS,7.242057546996371,9.219544457292887
GSD342,242,484,240,483,GSD,3.6853445843534764,2.23606797749979
GSD240,380,319,380,324,GSD,7.71173553248279,5.0
