ID,time,locx,locy,mode
TS138,0.0,175,119,TS
TS138,5.581348165401411,166,111,TS
TS138,11.254457750769282,150,112,TS
TS138,17.48365564506045,137,111,TS
TS138,23.601394587943584,123,112,TS
TS138,28.78937869884796,112,116,TS
TS138,34.20013596292731,109,123,TS
TG7,0.0,135,149,TG
TG7,5.409726604906682,116,160,TG
TG7,11.127241545666342,108,162,TG
TG7,15.978863702167386,115,161,TG
GSD148,0.0,184,89,GSD
GSD148,6.157912766661652,184,83,GSD
GSD148,11.42720063629087,181,82,GSD
GSD148,17.45680502604062,178,84,GSD
GSD148,24.237058063931457,180,88,GSD
GSD148,28.982301718490262,181,89,GSD
GSD148,33.58063187370281,180,90,GSD
TG66,0.0,279,151,TG
TG66,5.55362078469665,257,157,TG
TG66,11.393504139103133,240,169,TG
TG66,17.529074317268208,241,170,TG
TG122,0.0,279,151,TG
TG122,6.081698304813416,301,149,TG
TG122,13.563627914623726,327,159,TG
TG122,20.28389296705697,326,168,TG
TS149,0.0,101,95,TS
TS149,6.383997908181046,110,88,TS
TS149,12.791698145387375,121,78,TS
TS149,17.95453496269991,133,76,TS
TS149,23.954264880340325,143,75,TS
TS149,30.15476557028561,152,78,TS
TS149,33.05996296014639,154,82,TS
TS149,38.04515185919223,153,82,TS
TS186,0.0,165,125,TS
TS186,5.544633478599735,169,122,TS
TS186,11.827507810968587,175,116,TS
TS186,17.60846435461584,166,112,TS
TS186,23.02099359189709,165,113,TS
TG181,0.0,51,150,TG
TG181,5.6393682778144525,70,158,TG
TG181,10.632822512939608,84,156,TG
TG181,16.852436115506713,82,154,TG
TS119,0.0,135,149,TS
TS119,6.85193459841335,126,156,TS
TS119,12.614342358181895,121,160,TS
TS119,19.19181749456657,124,163,TS
TS119,26.06424977856317,133,169,TS
GSD142,0.0,163,211,GSD
GSD142,6.632875415476523,164,213,GSD
GSD142,12.91103560790548,169,213,GSD
GSD142,19.64686698729116,170,213,GSD
GSD142,27.545460899256927,169,218,GSD
GSD142,32.59593880687143,168,221,GSD
GSD74,0.0,164,282,GSD
GSD74,5.347417683209696,164,278,GSD
GSD74,10.888625305250049,164,271,GSD
GSD74,17.787001302121627,169,271,GSD
GSD74,24.148993764352063,172,271,GSD
GSD74,29.995811962874924,177,270,GSD
GSD74,36.51364125946338,182,273,GSD
GSD74,43.64707061324647,183,271,GSD
TG180,0.0,110,167,TG
TG180,7.870870273456223,124,154,TG
TG180,14.32840538203611,138,141,TG
TG180,21.156524626498754,159,129,TG
TG180,27.868635812869336,175,119,TG
TS17,0.0,208,215,TS
TS17,5.938286907182741,213,206,TS
TS17,11.691813008055032,224,209,TS
TS17,16.90985523500329,235,211,TS
TS17,21.719764639854727,246,214,TS
TS17,28.534594252480662,264,213,TS
TS17,33.5015819553702,271,211,TS
TS17,41.06107826763525,273,210,TS
TG35,0.0,122,197,TG
TG35,5.022756805614723,119,210,TG
TG35,9.937452985941912,112,232,TG
TG35,16.961562297184198,111,233,TG
TG169,0.0,163,133,TG
TG169,4.77051440545154,181,128,TG
TG169,10.605586696176246,196,139,TG
